Self_Study_Daily,Tution_Monthly
6,29
1,37
2,25
2,38
6,33
1,32
5,35
0,21
3,37
3,36
6,36
3,34
1,26
2,38
3,36
0,38
6,39
2,40
7,28
4,38
1,36
0,37
5,27
1,39
0,35
4,25
0,35
7,20
0,29
5,36
1,32
6,35
7,35
5,35
3,32
4,28
3,21
5,40
6,22
5,30
4,27
6,40
7,21
3,33
3,33
7,37
2,30
2,40
5,37
4,27
6,29
7,27
6,20
1,20
4,39
0,24
6,25
2,29
0,22
6,37
3,23
2,37
4,25
5,38
2,31
6,37
3,36
2,38
6,40
5,36
4,35
0,24
4,22
7,38
7,29
0,37
1,24
6,25
5,28
3,34
0,36
5,30
7,20
3,33
3,39
1,34
5,38
0,39
3,34
0,23
5,40
6,29
6,25
1,36
2,29
2,31
6,40
2,21
0,38
6,34
6,30
5,23
0,30
2,28
3,30
3,22
1,32
2,40
7,32
1,29
7,31
2,39
6,33
1,26
0,37
3,37
7,28
1,35
2,27
2,32
1,24
6,21
1,36
7,33
5,31
3,37
5,33
6,35
7,28
4,39
6,35
6,31
7,38
7,28
0,37
4,40
0,40
7,30
1,35
4,20
2,29
2,35
5,21
1,39
1,26
3,40
1,27
3,37
5,22
3,37
1,23
7,22
4,29
3,30
2,23
0,30
7,22
5,29
4,33
3,31
3,34
5,38
6,30
1,30
7,34
0,40
5,40
3,21
2,37
5,39
0,26
4,40
2,31
2,22
6,24
7,37
0,35
7,31
3,31
7,32
0,35
4,24
6,38
2,38
2,33
0,37
3,36
0,27
6,39
5,23
5,35
7,29
1,32
2,29
1,33
4,28
3,33
4,39
7,23
4,26
0,40
4,29
1,22
4,40
5,29
2,22
2,31
4,29
2,39
3,22
4,26
4,28
1,33
0,27
5,35
1,33
2,29
7,26
4,20
4,23
4,22
0,31
4,26
5,25
2,38
2,36
3,32
0,39
5,37
0,21
7,37
4,35
4,35
4,25
2,33
0,28
4,21
5,38
2,31
2,24
5,38
2,39
4,40
0,28
7,21
1,31
1,26
6,21
4,38
1,40
5,24
2,23
7,30
7,34
5,38
2,31
5,35
6,26
5,20
5,28
3,29
7,22
7,37
2,40
6,20
4,32
3,31
4,22
3,37
5,27
2,23
4,31
6,27
5,36
2,21
0,31
2,26
7,24
6,32
7,39
4,22
5,30
0,21
4,36
6,20
1,26
7,36
3,35
1,40
4,35
5,32
2,36
7,25
0,25
3,36
6,29
0,28
4,22
0,27
6,23
