Self_Study_Daily,Tution_Monthly
4,28
7,34
1,25
5,26
3,28
1,38
4,30
4,30
3,39
5,27
1,28
4,38
3,29
5,36
7,37
6,28
1,31
5,27
2,26
6,26
1,36
1,24
3,25
7,35
6,35
0,38
0,23
1,36
3,37
5,22
2,36
7,32
6,31
0,22
6,32
6,34
6,33
5,32
0,22
0,39
6,35
2,21
7,35
0,33
1,24
4,38
3,39
0,35
3,31
2,40
5,28
0,33
2,20
2,28
3,39
5,35
1,30
4,32
6,37
7,26
4,36
3,29
0,20
0,33
3,33
4,28
7,24
5,36
4,34
5,37
7,33
1,20
4,34
4,32
1,28
3,22
0,20
2,27
1,32
3,20
2,29
5,29
0,40
0,38
1,33
5,26
1,33
2,40
5,32
2,27
5,35
2,24
7,20
1,28
6,34
0,29
1,37
2,20
4,24
2,39
1,25
4,35
4,34
5,24
5,36
0,36
2,26
7,25
5,29
5,22
2,25
1,40
2,39
1,33
0,40
0,23
3,26
7,40
3,34
7,29
0,31
1,37
7,30
5,39
2,38
3,30
3,35
4,33
4,37
5,31
2,35
6,21
0,24
2,31
5,24
1,24
2,32
1,32
5,24
0,27
5,33
7,35
7,39
0,35
2,38
1,39
2,33
7,22
4,34
4,22
5,25
5,32
4,32
6,25
4,25
6,37
0,36
3,22
3,28
6,37
3,33
5,23
2,28
2,20
2,34
4,22
0,28
4,37
5,20
4,38
7,40
5,27
4,23
4,26
1,34
7,31
5,39
0,25
4,26
6,35
3,26
6,22
4,22
2,36
6,34
3,39
3,28
3,24
5,34
1,20
4,31
3,39
6,32
5,38
7,22
6,26
7,33
1,20
3,22
1,29
0,25
3,36
0,22
6,34
7,31
5,37
3,30
6,22
3,40
6,22
7,25
7,30
5,34
3,40
5,23
3,30
5,27
6,40
4,27
2,23
5,26
2,37
4,35
0,39
4,20
1,21
4,21
7,31
3,34
5,22
3,29
0,20
3,32
7,30
6,32
3,20
7,25
4,35
3,25
7,20
0,23
3,33
3,29
7,38
7,31
1,35
6,32
1,35
5,23
1,35
7,26
4,37
4,35
3,24
7,33
2,30
7,23
2,21
4,26
1,34
1,25
5,23
3,29
5,24
2,28
1,34
5,22
6,27
2,28
4,36
1,33
4,20
3,37
0,27
1,30
3,31
6,38
1,25
5,24
2,33
5,21
6,40
1,37
2,33
7,21
7,20
2,27
1,40
1,39
4,25
1,26
0,27
1,40
2,35
3,36
5,38
1,22
1,23
3,22
4,35
